label
"Company Name"
"Company Name Alias"
"Company DUNS"
"Company Phone"
"Company Website"
"Global Revenue in USD"
"Global Revenue Range"
"Global Employee Range"
"Subsidiary Indicator"
"Company Type"
"Year of Founding"
"Record Status"
"Company Address"
"Company City"
"Company State"
"Company Zipcode"
"Company Country"
"Company Global Region"
"Primary Industry"
"Primary NAICS Codes"
"Primary NAICS Description"
"Primary SIC Codes"
"Primary SIC Description"
"Company GUID"
"Company  Linkedin Url"
"Immediate Parent Name"
"Immediate Parent DUNS"
"Domestic Ultimate Parent Name"
"Domestic Ultimate Parent DUNS"
"Global Ultimate Parent Name"
"Global Ultimate Parent DUNS"
"Product/Technology Keywords"
